,4
0,Last Night
1,Fast Car
2,Meltdown
3,Cruel Summer
4,FE!N
5,Calm Down
6,Fukumean
7,Barbie World
8,Vampire
9,Dance The Night
10,I Know ?
11,Flowers
12,All My Life
13,Hyaena
14,Snooze
15,Thank God
16,Topia Twins
17,K-POP
18,My Eyes
19,Karma
20,Try That In A Small Town
21,What Was I Made For?
22,Modern Jam
23,Need A Favor
24,Delresto (Echoes)
25,Telekinesis
26,Sirens
27,God's Country
28,Kill Bill
29,Seven
30,Anti-Hero
31,Creepin'
32,Religiously
33,Skitzo
34,Chemical
35,Circus Maximus
36,Thinkin' Bout Me
37,Til Further Notice
38,Favorite Song
39,Mourning
40,Cupid
41,Ella Baila Sola
42,In Your Love
43,Dial Drunk
44,Next Thing You Know
45,Lost Forever
46,"You, Me, & Whiskey"
47,Love You Anyway
48,Looove
49,Thought You Should Know
50,Bury Me In Georgia
51,La Bebe
52,Parasail
53,Search & Rescue
54,Jealousy
55,Enough Is Enough
56,Put It On Da Floor Again
57,Deli
58,Un x100to
59,LaLa
60,Where She Goes
61,Princess Diana
62,Lady Gaga
63,Baby Don't Hurt Me
64,Area Codes
65,What It Is (Block Boy)
66,Something Real
67,Overdrive
68,Peaches & Eggplants
69,Sabor Fresa
70,Watermelon Moonshine
71,Your Heart Or Mine
72,Eyes Closed
73,Daylight
74,Tulum
75,I Can See You (Taylor's Version) (From The Vault)
76,Super Shy
77,Speed Drive
78,White Horse
79,On The Radar Freestyle
80,Stand By Me
81,Fragil
82,Everything I Love
83,Shake Sumn
84,TQM
85,Popular
86,Too Cool To Die
87,Don't Understand
88,Aqui Te Espero
89,Novacandy
90,Truck Bed
91,I'm Just Ken
92,Jaded
93,Heartbroken
94,Memory Lane
95,Oh U Went
96,ICU
97,Pound Town 2
98,"Bzrp Music Sessions, Vol. 55"
99,Johnny Dang
